,antecedents,consequents,support,antecedent support,consequent support,confidence,lift,leverage,conviction,certainty,adjusted_support,adjusted_antecedent_support,adjusted_consequent_support,adjusted_confidence,adjusted_lift,adjusted_leverage,adjusted_conviction,adjusted_certainty
20,"frozenset({'french fries', 'risol mayo'})",frozenset({'tahu krispy'}),0.001049317943336831,0.0018654541214876998,0.00010091765330188791,0.5625,10.39776400862069,0.0010491296860845483,2.285483616792453,0.5623990823466981,0.0036319612590799033,0.00645682001614205,0.044794188861985475,0.5625,12.557432432432432,0.0033427332438289883,2.1833275683154616,0.5177058111380145
21,"frozenset({'risol mayo', 'tahu krispy'})",frozenset({'french fries'}),0.001049317943336831,0.0016322723563017372,7.174614414431094e-05,0.6428571428571429,14.625426297840093,0.0010492008340890731,2.799799110796396,0.6427853967129986,0.0036319612590799033,0.005649717514124294,0.05084745762711865,0.6428571428571429,12.642857142857142,0.0033446874871752783,2.657627118644068,0.5920096852300243
22,"frozenset({'french fries', 'sayur harian'})",frozenset({'teh'}),0.001049317943336831,0.0016322723563017372,0.0004930882214268159,0.6428571428571429,2.128053151017258,0.001048513089063778,2.798619352980005,0.6423640546357161,0.001050542780436559,0.0016341776584568694,0.30197268588770865,0.6428571428571429,2.1288585786073226,0.0005570657636946515,1.954476479514416,0.34088445696943426
23,"frozenset({'french fries', 'sosis goreng'})",frozenset({'teh'}),0.0027981811822315496,0.005479771481870118,0.001655367600504311,0.5106382978723404,1.6903684603825024,0.0027891101460622942,2.0400955531641864,0.508982930271836,0.0028011204481792717,0.005485527544351073,0.3018207282913165,0.5106382978723404,1.6918596040874758,0.0011454745296811538,1.42671416392644,0.20881756958102388
24,"frozenset({'nasi putih', 'gorengan'})",frozenset({'mie'}),0.008394543546694649,0.01142590649411216,0.0022420194274910535,0.7346938775510204,3.744188584524719,0.008368926442358152,3.7607800806194573,0.7324518581235294,0.008497580549982297,0.01156615130414257,0.19697863802667295,0.7346938775510204,3.729814993702694,0.0062192958188818665,3.026772825899464,0.5377152395243475
25,"frozenset({'mie', 'gorengan'})",frozenset({'teh'}),0.023201585636003264,0.04278885391162411,0.012925955518831533,0.5422343324250681,1.794960968432964,0.02264849881363983,2.1562867519320763,0.5293083769062366,0.02329119850187266,0.04295411985018727,0.3018492509363296,0.5422343324250681,1.796374616611005,0.010325529600464308,1.5251269339664706,0.24038508148873855
26,"frozenset({'nasi goreng', 'gorengan'})",frozenset({'teh'}),0.0033811355951964554,0.006762271190392911,0.002042794060196809,0.5,1.6551524507912003,0.0033673216677752808,1.9959144118796064,0.4979572059398032,0.0034523809523809524,0.006904761904761905,0.30142857142857143,0.5,1.6587677725118484,0.0013710884353741498,1.3971428571428572,0.19857142857142857
27,"frozenset({'tahu krispy', 'gorengan'})",frozenset({'teh'}),0.003614317360382418,0.007228634720764836,0.0021836764091758996,0.5,1.6551524507912003,0.003598532361272134,1.9956326471816481,0.4978163235908241,0.003619381202568593,0.007238762405137186,0.3018096906012843,0.5,1.6566731141199225,0.0014346525607379303,1.3963806187974313,0.19819030939871568
28,"frozenset({'kerupuk', 'teh'})",frozenset({'penyetan'}),0.0031479538300104933,0.0061793167774280055,0.00123917743467135,0.5094339622641509,2.5403576129881524,0.0031402965600982186,2.0359355229216316,0.5081947848294796,0.0031656700668308124,0.006214093094149373,0.20060968460546372,0.5094339622641509,2.5394285588258,0.0019190628111045165,1.629526412150401,0.30882427765868725
29,"frozenset({'nasi putih', 'nasi goreng'})",frozenset({'mie'}),0.0013990905911157748,0.0015156814737087559,0.00029741074038146627,0.9230769230769231,4.704236939531057,0.0013986398111664965,12.99613366037505,0.9227795123365417,0.0014285714285714286,0.0015476190476190477,0.19488095238095238,0.9230769230769231,4.73661951975941,0.001126969954648526,10.466547619047626,0.7281959706959708
